artistId,name,popularity,tags,image,url
1,Keane,0.63,"rock,pop,alternative,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000001_<$size$>.jpg,http://www.7digital.com/artist/keane/
2,Blink 182,0.6,"rock,pop,punk,1990s,2000s,hard-rock-metal",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000002_<$size$>.jpg,http://www.7digital.com/artist/blink-182/
4,Amy Winehouse,0.68,"pop,randb-soul,singer-songwriter,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000004_<$size$>.jpg,http://www.7digital.com/artist/amy-winehouse/
5,Busted,0.51,"pop,dance,pop-rock",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000005_<$size$>.jpg,http://www.7digital.com/artist/busted/
6,Sia,0.61,"pop,electronic,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000006_<$size$>.jpg,http://www.7digital.com/artist/sia/
7,Sugababes,0.57,"pop,randb-soul,pop-rock,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000007_<$size$>.jpg,http://www.7digital.com/artist/sugababes/
8,The Loose Cannons,0.39,,http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000008_<$size$>.jpg,http://www.7digital.com/artist/the-loose-cannons/
9,Kid Symphony,0.34,"pop,alternative",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000009_<$size$>.jpg,http://www.7digital.com/artist/kid-symphony/
10,Chikinki,0.41,alternative,http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000010_<$size$>.jpg,http://www.7digital.com/artist/chikinki/
11,Span,0.41,"pop,alternative",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000011_<$size$>.jpg,http://www.7digital.com/artist/span/
12,BellX1,0.34,,http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000012_<$size$>.jpg,http://www.7digital.com/artist/bellx1/
13,DJ Shadow,0.53,"dance,electronic,big-beat,trip-hop,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000013_<$size$>.jpg,http://www.7digital.com/artist/dj-shadow/
14,The Charlatans,0.52,"rock,indie-rock,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000014_<$size$>.jpg,http://www.7digital.com/artist/the-charlatans/
15,Hawksley Workman,0.46,"pop,alternative",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000015_<$size$>.jpg,http://www.7digital.com/artist/hawksley-workman/
17,PJ Harvey,0.57,"rock,alternative,pop-rock,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000017_<$size$>.jpg,http://www.7digital.com/artist/pj-harvey/
18,UNKLE,0.56,"electronic,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000018_<$size$>.jpg,http://www.7digital.com/artist/unkle/
19,Bob Marley,0.6,"reggae,roots,caribbean,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000019_<$size$>.jpg,http://www.7digital.com/artist/bob-marley/
20,Coldplay,0.88,"rock,pop,alternative,1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000020_<$size$>.jpg,http://www.7digital.com/artist/coldplay/
