action,trackId,title,version,type,isrc,explicitContent,trackNumber,discNumber,artistId,artistAppearsAs,releaseId,duration,formats,price,rrp,url,popularity,streamingReleaseDate,licensorID
U,393246,Is It Any Wonder?,,Audio,GBUM70600560,false,2,1,1,Keane,36567,186,"17,1,26",0.99,0.99,http://www.7digital.com/artist/keane/release/under-the-iron-sea-uk-edition?h=02,0.39,2006-06-12T00:00:00Z,1
U,393250,Hamburg Song,,Audio,GBUM70600561,false,6,1,1,Keane,36567,277,"17,1,26",0.99,0.99,http://www.7digital.com/artist/keane/release/under-the-iron-sea-uk-edition?h=06,0.35,2006-06-12T00:00:00Z,1
U,393253,Crystal Ball,,Audio,GBUM70600559,false,9,1,1,Keane,36567,234,"17,1,26",0.99,0.99,http://www.7digital.com/artist/keane/release/under-the-iron-sea-uk-edition?h=09,0.38,2006-06-12T00:00:00Z,1
I,8837180,House Lights,Album Version,Audio,GBUM71000080,false,1,1,1,Keane,799025,84,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=01,0.4,2010-05-10T00:00:00Z,1
I,8837181,Back In Time,Album Version,Audio,GBUM71000081,false,2,1,1,Keane,799025,232,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=02,0.4,2010-05-10T00:00:00Z,1
I,8837183,Stop For A Minute,Album Version,Audio,GBUM71000082,false,3,1,1,Keane / K'NAAN,799025,247,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=03,0.42,2010-05-10T00:00:00Z,1
I,8837186,Clear Skies,Album Version,Audio,GBUM71000083,false,4,1,1,Keane,799025,293,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=04,0.41,2010-05-10T00:00:00Z,1
I,8837190,Ishin Denshin (You've Got To Help Yourself),Album Version,Audio,GBUM71000084,false,5,1,596076,Keane / Tigarah,799025,237,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=05,0.39,2010-05-10T00:00:00Z,1
I,8837194,Your Love,Album Version,Audio,GBUM71000085,false,6,1,1,Keane,799025,277,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=06,0.39,2010-05-10T00:00:00Z,1
I,8837199,Looking Back,Album Version,Audio,GBUM71000086,false,7,1,1,Keane / K'NAAN,799025,226,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=07,0.38,2010-05-10T00:00:00Z,1
I,8837202,My Shadow,Album Version,Audio,GBUM71000089,false,8,1,1,Keane,799025,289,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/night-train?h=08,0.4,2010-05-10T00:00:00Z,1
U,18409656,Watch How You Go,,Audio,GBUM71201141,false,4,1,1,Keane,1685647,220,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/strangeland?h=04,0.52,2012-05-07T00:00:00Z,1
U,18409661,On The Road,,Audio,GBUM71201134,false,6,1,1,Keane,1685647,237,"17,26",0.99,0.99,http://www.7digital.com/artist/keane/release/strangeland?h=06,0.51,2012-05-07T00:00:00Z,1
